"Task Title","Customer","Project","Billable","Start Time","End Time","Duration (seconds)","Projected Revenue"
"Design homepage","Base44, 80","Website Revamp, 100","Y","2023-01-01T10:00:00.000Z","2023-01-01T11:30:00.000Z","5400","150.00 €"
"Client meeting","Freenix, 120","App Onboarding","N","2023-01-02T14:00:00.000Z","2023-01-02T15:00:00.000Z","3600",""
"Write documentation","InnovaCo, 90","Internal Tools","Y","2023-01-03T09:15:00.000Z","2023-01-03T11:00:00.000Z","6300","157.50 €"
"Bug fixes","Base44, 80","Website Revamp, 100","Y","2023-01-04T13:45:00.000Z","2023-01-04T14:30:00.000Z","2700","75.00 €"
"UI Review","Sparkflow, 95","Marketing Site","N","2023-01-05T11:00:00.000Z","2023-01-05T12:15:00.000Z","4500",""
"Setup analytics","QuantumLeap, 110","Dashboard Redesign","Y","2023-01-06T10:30:00.000Z","2023-01-06T11:45:00.000Z","4500","137.50 €"
"Refactor CSS","Base44, 80","Website Revamp, 100","Y","2023-01-07T09:00:00.000Z","2023-01-07T10:10:00.000Z","4200","116.67 €"
"Email campaign planning","Freelance.ai, 75","Outreach","N","2023-01-08T16:00:00.000Z","2023-01-08T17:20:00.000Z","4800",""
"Deploy staging","InnovaCo, 90","Internal Tools","Y","2023-01-09T13:30:00.000Z","2023-01-09T14:00:00.000Z","1800","45.00 €"
"Fix form validation","Sparkflow, 95","Marketing Site","Y","2023-01-10T08:45:00.000Z","2023-01-10T09:30:00.000Z","2700","71.25 €"